policy,real_seconds,cells_per_second,maximum_resident_set_size,peak_memory_footprint,p_core_share,e_core_share
default,2.32,289544.8275862069,44105728.0,43680704.0,0.8888888888888888,0.1111111111111111
utility,2.35,285848.5106382979,41189376.0,40747904.0,1.0,0.0
background,13.03,51553.645433614736,26968064.0,26526592.0,0.5,0.5
