case,elapsed_seconds,average_seconds_per_repeat,logical_cells,throughput_label,throughput,lower_bound_bandwidth_gbps,average_iterations,average_relative_residual,multigrid_levels
advection_256x256,1.23841,0.00516004,65536,cell_updates_per_second,12700700.0,0.814431,,,
pressure_poisson_256x256,5.32977,0.222074,65536,unknown_updates_per_second,295109.0,,16.0,4.18503e-11,8
