case,steps,logical_cells,real_seconds,cells_per_second,maximum_resident_set_size,peak_memory_footprint,benchmark_status
taylor_green_128,41,16384,2.31,290798.2683982684,43646976.0,43205504.0,pass
channel_couette_128,8,16384,0.44,297890.9090909091,41828352.0,41386880.0,pass
cavity_smoke_32_steps256,256,1024,0.92,284939.1304347826,4308992.0,3834688.0,skipped
